,Notes,SURV_DATE,OBS_RADIUS,LC1_SPECIE,LC2_SPECIE,AREA_SIZE,LAND_MNGT,SOIL_CROP,nuts3,Transect,CLIMANR,WRB_COD,AnnualPrec,WRB_LV1,ParMat1,ParMat2,slope (Degrees)
11,,10JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT171,E30;D20;X,5.3,VR,621.810002613068,Vertisol,igneous rocks,basic plutonic rocks,1.21524477005005
12,,15JUL2009:00:00:00,2.0,,,2.0,2.0,2.0,PT16B,B82;E30;B82;F00;B82;F00;B82;F00;B82,5.3,CM,621.810002613068,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,6.46731853485107
13,,02JUN2009:00:00:00,2.0,,,1.0,1.0,3.0,PT150,E30;61;24;61;1;B82;C10;G20;D10;B76;61;B76,5.7,LV,446.290001995116,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,2.59240627288818
14,,03JUN2009:00:00:00,2.0,,,3.0,2.0,4.0,PT150,D20;61;D10,5.6,LV,473.660000106692,Luvisol,igneous rocks,acid to intermediate plutonic rocks,0.405135601758957
15,,16JUN2009:00:00:00,2.0,C1E,,3.0,2.0,2.0,PT181,C10;23;E10;71;E10;E20;E10;E20,5.6,LV,473.660000106692,Luvisol,metamorphic rocks,weakly metamorphic rocks,7.74553775787354
16,,25JUN2009:00:00:00,2.0,C2A,,4.0,2.0,3.0,PT181,C20;61;C20;61;C20,5.3,PZ,512.170001503825,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,4.52022743225098
17,,29JUL2009:00:00:00,2.0,C1E,,3.0,2.0,3.0,PT16B,C10;D10;C10;61;C10,5.3,LV,612.560003875941,Luvisol,igneous rocks,acid to intermediate plutonic rocks,3.45733523368835
18,,29JUL2009:00:00:00,2.0,,,1.0,2.0,3.0,PT16B,B72;E30;B72;E30;61;24;B71;62;24;B81;E30;C20;24;C20,5.3,CM,612.560003875941,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,2.06493425369263
19,,15JUN2009:00:00:00,2.0,,,4.0,2.0,3.0,PT181,D10;C10;61;C10;D20;C10,5.6,RG,501.589998844266,Regosol,metamorphic rocks,weakly metamorphic rocks,0.405135601758957
20,,13JUL2009:00:00:00,2.0,C1E,,3.0,2.0,1.0,PT16B,C10;D10;C10;C20;D10;C10,5.3,LV,682.120000180602,Luvisol,unconsolidated deposits (alluvium,fluvial sands and gravels,0.905850350856781
21,,29JUN2009:00:00:00,2.0,,,3.0,2.0,2.0,PT181,E30;F00;23;F00;E20;71;E30;F00;E30;23;F00;E20;23;A;B16,5.6,LV,512.170001503825,Luvisol,consolidated-clastic-sedimentary rocks,consolidated-clastic-sedimentary rocks,3.08249473571777
22,,25JUN2009:00:00:00,2.0,,,1.0,2.0,4.0,PT181,C20;23;F00;A;F00;23;71;C20;F00;E30,5.3,PZ,550.160001064092,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,1.21524477005005
23,,11MAY2009:00:00:00,2.0,B84K,,2.0,2.0,2.0,PT150,B84;E30;B74;61;B84;11;21;D10;61;21;E30;21;E30,5.7,CM,439.469997514039,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,0.810230672359467
24,,29MAY2009:00:00:00,2.0,B84K,,2.0,2.0,3.0,PT150,B84;E30;61;D10;71;D10;32;1;62;D10;21;D10;23;61,5.7,LV,439.469997514039,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.405135601758957
25,,30JUN2009:00:00:00,2.0,,,3.0,1.0,2.0,PT181,E20;23;61;B12,5.6,RG,501.589998844266,Regosol,metamorphic rocks,weakly metamorphic rocks,1.62013745307922
26,,30JUN2009:00:00:00,1.0,,,4.0,1.0,2.0,PT181,B54;24;B54,5.6,RG,501.589998844266,Regosol,metamorphic rocks,weakly metamorphic rocks,1.2809591293335
27,,03AUG2009:00:00:00,2.0,,,2.0,2.0,2.0,PT172,E30;F00;E30;21;PI(;Bx1;23;Bx1;)PI,5.3,PZ,589.029994826764,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,2.94687962532043
28,,14JUL2009:00:00:00,1.0,,,1.0,3.0,2.0,PT16B,F00;11;23;62;23;B12;24;B12;2;32;2;B15;24;B15;2,5.3,PZ,682.120000180602,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,1.21524477005005
29,,03AUG2009:00:00:00,2.0,C19,,4.0,1.0,2.0,PT172,C10;E30;C10,5.3,PZ,621.170000751317,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,3.66371822357178
30,,29JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT16B,E30,5.3,CM,612.560003875941,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,2.18070459365845
31,,27JUN2009:00:00:00,2.0,,,3.0,1.0,2.0,PT181,E20;31;E30;C10;23;C10,5.6,LV,512.170001503825,Luvisol,metamorphic rocks,acid regional metamorphic rocks,2.06493425369263
32,,25JUN2009:00:00:00,2.0,C19,,3.0,1.0,3.0,PT181,C10;E30;23;C10,5.6,RG,550.160001064092,Regosol,metamorphic rocks,weakly metamorphic rocks,1.2809591293335
33,,23JUN2009:00:00:00,2.0,C3A,,4.0,2.0,3.0,PT181,C30;61;C30,5.3,PZ,550.160001064092,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,3.81645083427429
34,,05JUN2009:00:00:00,2.0,C19,,3.0,2.0,3.0,PT181,C10;E30;C10;61;D10;C10;D10;32;D10,5.6,RG,512.269998485595,Regosol,metamorphic rocks,weakly metamorphic rocks,1.71835803985596
35,,01JUL2009:00:00:00,2.0,,,2.0,2.0,3.0,PT181,D10;C10;C30;F00;D10;71;D10;D20,5.6,RG,512.269998485595,Regosol,metamorphic rocks,weakly metamorphic rocks,0.0
36,,30JUL2009:00:00:00,2.0,C19,,3.0,1.0,2.0,PT185,C10;E30;C10;24;23;E30;G10;E30;C10;E30,5.3,CM,612.560003875941,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,2.46286654472351
37,,14JUL2009:00:00:00,2.0,C1E,,4.0,2.0,1.0,PT16B,C10;D10;C10;61;C10,5.3,LV,612.560003875941,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.14576280117035
38,,29JUN2009:00:00:00,2.0,C19,,4.0,2.0,1.0,PT181,C10;D10;C10;E30;61;E30;61;E30;C10;D10,5.6,LV,512.269998485595,Luvisol,consolidated-clastic-sedimentary rocks,consolidated-clastic-sedimentary rocks,4.12451791763306
39,,30JUL2009:00:00:00,2.0,,,3.0,2.0,2.0,PT185,E30;24;E30;23;E30;63;PI(;23;1;61;Bx1;)PI,5.3,SC,621.810002613068,Solonchak,unconsolidated deposits (alluvium,marine and estuarine clays and silts,2.91899490356445
40,,30JUL2009:00:00:00,2.0,C1E,,3.0,2.0,1.0,PT185,C10;F00;C10;61;C10;61;C10;61;E30;32;C10,5.3,CM,612.560003875941,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,0.905850350856781
41,,14JUL2009:00:00:00,2.0,C1E,,3.0,2.0,1.0,PT16B,C10;D10;C10;24;C10,5.3,LV,682.120000180602,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.0
42,,27JUN2009:00:00:00,2.0,,,4.0,1.0,2.0,PT181,E10;11;E30;10;E30;61;E30;C20;E30,5.6,PZ,507.73000023663,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,0.405135601758957
43,many stones,26JUN2009:00:00:00,2.0,C19,,4.0,2.0,2.0,PT181,C10;32;C10,5.6,RG,507.73000023663,Regosol,metamorphic rocks,weakly metamorphic rocks,1.14576280117035
44,,24JUN2009:00:00:00,1.0,,,2.0,2.0,1.0,PT181,B21;E30;61;C10;61;E30,5.6,PZ,550.160001064092,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,2.94687962532043
45,,24JUN2009:00:00:00,2.0,C1E,,4.0,2.0,2.0,PT181,C10;D10;C10;D10,5.3,PZ,550.160001064092,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,1.71835803985596
46,,03AUG2009:00:00:00,1.0,,,2.0,2.0,2.0,PT172,B16;61;24;A;B76;F00;32;E30;61;B82;B21;61;71;23;B16;X,5.3,PZ,621.170000751317,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,4.44761085510254
47,,09JUL2009:00:00:00,2.0,,,1.0,2.0,3.0,PT16B,E20;D10;61;B71;32;B71;F00;61;E30;C10;32,5.3,PZ,682.120000180602,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,5.31352996826172
48,,03AUG2009:00:00:00,2.0,C3A,,3.0,2.0,4.0,PT172,C30;F00;C30;61;C30;61;C30;61;C30,5.3,PZ,621.170000751317,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,2.59240627288818
49,,14JUL2009:00:00:00,2.0,,,1.0,2.0,1.0,PT185,D10;B81;B77;D20;E30;C10;D10;E30;C10,5.3,LV,682.120000180602,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,2.29061007499695
50,,29JUN2009:00:00:00,1.0,,,4.0,1.0,3.0,PT181,B15;E30;C10;D10;C10;23;61;D10;31;1,5.6,CM,507.73000023663,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,1.14576280117035
51,,25JUN2009:00:00:00,2.0,,,4.0,1.0,1.0,PT181,E20;32;E10,5.6,PZ,559.019999330491,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,0.405135601758957
52,,11MAY2009:00:00:00,2.0,,,1.0,2.0,2.0,PT150,B74;E30;21;B84;21;24;B84;61;24;C30;61;23;11;C30;A;23;24;62,5.7,CM,446.579998672009,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,3.7299497127533
53,,24JUN2009:00:00:00,2.0,C19,,4.0,2.0,2.0,PT181,C10;F00;C10;F00;23;C10,5.6,PZ,559.019999330491,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,1.21524477005005
54,,16JUL2009:00:00:00,1.0,,,3.0,2.0,1.0,PT185,B42;61;C20;61;C20;61;C20;23;C20;E30;32;E30;X,5.3,AR,572.049997526407,Arenosol,unconsolidated deposits (alluvium,marine and estuarine sands,14.3713035583496
55,,09JUL2009:00:00:00,2.0,C1E,,2.0,2.0,1.0,PT16B,C10;E30;C10;F00;C10;F00,5.3,CM,682.120000180602,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,23.0354804992676
56,,01JUL2009:00:00:00,2.0,C19,,4.0,1.0,1.0,PT184,C10;E30;C10;E30;23;C10,5.6,RG,512.269998485595,Regosol,metamorphic rocks,weakly metamorphic rocks,0.405135601758957
57,,23JUL2009:00:00:00,2.0,,,4.0,2.0,2.0,PT163,D20;61;D20,5.3,PZ,778.170004816353,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,8.66046810150146
58,,22MAY2009:00:00:00,2.0,,,2.0,2.0,2.0,PT150,B76;E30;23;71;61;B76;B81;B75;61;11;E30;61;E30;E20;B76;71;B84;24;61;E30;23,5.7,FL,446.579998672009,Fluvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.14576280117035
59,,01JUL2009:00:00:00,2.0,C19,,3.0,2.0,2.0,PT184,C10;D10;B12;D10;B12;D10,5.6,RG,512.269998485595,Regosol,metamorphic rocks,weakly metamorphic rocks,0.0
60,,10AUG2009:00:00:00,2.0,C2A,,4.0,2.0,2.0,PT181,C20;D10;C20;61;C20;D10;31;23;PI(;D10;63;)PI,5.6,PZ,559.019999330491,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,4.93316602706909
61,,23JUL2009:00:00:00,1.0,,,1.0,3.0,4.0,PT172,F00;D20;32;D20;F00;2;F00;23;D10,5.3,PZ,621.170000751317,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,24.6844291687012
62,,04AUG2009:00:00:00,1.0,,,4.0,2.0,1.0,PT185,B21;E30;B21;E30;B21,5.3,AR,572.049997526407,Arenosol,unconsolidated deposits (alluvium,marine and estuarine sands,22.1554393768311
63,,23JUL2009:00:00:00,2.0,C1E,,2.0,2.0,1.0,PT163,C10;F00;C10;E30;61;C20;D10;E30;61;C10;E30;61;C20;E30;61;C10,5.3,PZ,682.120000180602,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,18.0340270996094
64,,25MAY2009:00:00:00,2.0,,,1.0,2.0,2.0,PT150,E30;10;A;E30;10;E30;62;B74;24;B81;21;61;21;B84;21;F00;21,5.7,CM,446.579998672009,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.81124806404114
65,,22JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT185,E30;F00;E30;C10;F00;61;F00;61;E30;61;D20;D10,5.3,PZ,572.049997526407,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,11.963794708252
66,,28JUL2009:00:00:00,2.0,,,4.0,2.0,1.0,PT185,E30;23;E30;23;D10;E30;23;E30;61;23;C20,5.3,FL,597.760001098365,Fluvisol,unconsolidated deposits (alluvium,lake deposits,23.510425567627
67,,15JUL2009:00:00:00,2.0,,,2.0,1.0,2.0,PT185,B81;E30;B81;31;B81;E30;23;F00;B81;23;F00;B81;23;F00;B81;A;24;61;23;E20;24;23;62,5.3,LV,744.310000786185,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.46044516563416
68,,01JUL2009:00:00:00,1.0,,,4.0,1.0,1.0,PT184,B15;61;E30;61;B11,5.6,LV,507.73000023663,Luvisol,consolidated-clastic-sedimentary rocks,consolidated-clastic-sedimentary rocks,1.46044516563416
69,,04AUG2009:00:00:00,2.0,C1E,,4.0,2.0,3.0,PT183,C10;E30;C10;F00;23;F00;C20,5.3,PZ,634.600002272427,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,5.71059322357178
70,,01JUL2009:00:00:00,2.0,,,2.0,1.0,3.0,PT184,E10;E20;21;B81;21;24;61;23;C10;31;E30;24;E30,5.6,RG,512.269998485595,Regosol,metamorphic rocks,weakly metamorphic rocks,0.0
71,,24JUL2009:00:00:00,1.0,,,3.0,3.0,2.0,PT172,F00;C20;C10,5.3,PZ,634.600002272427,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,3.26283025741577
72,,22JUL2009:00:00:00,2.0,C19,,4.0,2.0,3.0,PT185,C10;F00;C10;E30;C10;F00;D10;H11;D10;E30;C10,5.3,FL,572.049997526407,Fluvisol,unconsolidated deposits (alluvium,lake deposits,24.6844291687012
73,,10JUL2009:00:00:00,2.0,,,4.0,2.0,1.0,PT163,B81;E30;B81;D20;61;2;61;21;D10;PI(;D10;)PI,5.3,LV,744.310000786185,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,10.7797718048096
74,,27JUN2009:00:00:00,2.0,,,4.0,2.0,1.0,PT181,B81;F00;61;E30;61;31;61;B81,5.6,CM,507.73000023663,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,1.46044516563416
75,,11AUG2009:00:00:00,2.0,C19,,4.0,1.0,2.0,PT183,C10;F00;C10;32;C10,5.6,LV,634.600002272427,Luvisol,consolidated-clastic-sedimentary rocks,psammite or arenite,4.73128604888916
76,,04AUG2009:00:00:00,2.0,C19,,4.0,2.0,1.0,PT185,C10;D10;C10;61;C10;61;C10,5.3,PZ,572.049997526407,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,26.2993450164795
77,,15JUL2009:00:00:00,2.0,C15,,4.0,1.0,1.0,PT185,C10;E30;C10;C20;61;C20;61;C20;E30;2;C20;2;61;D20;F00,5.3,CM,597.760001098365,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.2809591293335
78,,25MAY2009:00:00:00,2.0,,,2.0,2.0,2.0,PT150,D10;21;61;21;D10;61;21;C10,5.6,RG,510.389998417348,Regosol,metamorphic rocks,weakly metamorphic rocks,5.25209045410156
79,,04AUG2009:00:00:00,2.0,C32,,3.0,2.0,1.0,PT185,C30;1;32;1;E30;1;61;1;31;1;B17,5.3,PZ,572.049997526407,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,15.4607172012329
80,many stones,31JUL2009:00:00:00,2.0,,,4.0,2.0,1.0,PT185,B82;24;F00;C10;24;C10,5.3,AR,597.760001098365,Arenosol,unconsolidated deposits (alluvium,marine and estuarine sands,20.2601413726807
81,,28JUL2009:00:00:00,1.0,,,1.0,2.0,1.0,PT185,B54;B43;32;23;F00;E30;F00;23;E10;B81;24;B81;23;B81;23;F00,5.3,CM,597.760001098365,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,20.7175960540771
82,,06JUL2009:00:00:00,2.0,,,1.0,2.0,2.0,PT163,D20;10;B81;1;B82;D10;B82;1;61;10;D20;B81;B82;E30;B82,5.3,LV,744.310000786185,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,14.6821136474609
83,,12MAY2009:00:00:00,2.0,,,1.0,2.0,2.0,PT150,D10;E30;21;E10;B81;61;E30;21;E10;D10;21;C30;21;11;C30;71;F00;D10,5.7,CM,446.579998672009,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.405135601758957
84,,16MAY2009:00:00:00,2.0,,,4.0,2.0,1.0,PT184,E20;C10;E20,5.6,LV,532.469999342412,Luvisol,metamorphic rocks,weakly metamorphic rocks,3.33711075782776
85,,06MAY2009:00:00:00,2.0,C19,,4.0,2.0,1.0,PT184,C10;E30;23;61;32;E30,5.6,LV,532.469999342412,Luvisol,consolidated-clastic-sedimentary rocks,psammite or arenite,1.66997158527374
86,,01AUG2009:00:00:00,2.0,,,3.0,1.0,2.0,PT184,E10;C10;E20;C10,5.6,CM,507.73000023663,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,0.0
87,,18MAY2009:00:00:00,2.0,B75C,,1.0,2.0,2.0,PT150,B75;B81;B74;61;21;B75;71;B81;61;B81;B75;21;B81;21;B75;B81,5.6,LV,510.389998417348,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.405135601758957
88,,06MAY2009:00:00:00,2.0,C19,,4.0,2.0,1.0,PT184,C10;E30;23;D10;X,5.6,LV,532.469999342412,Luvisol,consolidated-clastic-sedimentary rocks,psammite or arenite,3.81645083427429
89,,31JUL2009:00:00:00,2.0,C19,,4.0,1.0,1.0,PT181,C10;E10;C10;E20;12;E20,5.6,PZ,559.019999330491,Podzol,consolidated-clastic-sedimentary rocks,psammite or arenite,4.91666555404663
90,,05AUG2009:00:00:00,2.0,C19,,4.0,1.0,2.0,PT183,C10;E30;C10;23;61;C10,5.6,RG,634.600002272427,Regosol,metamorphic rocks,weakly metamorphic rocks,1.14576280117035
91,,04AUG2009:00:00:00,2.0,C19,,4.0,1.0,2.0,PT183,C10;E30;C10;E30;C10;E30;C10;31;23;E30;X,5.6,RG,634.600002272427,Regosol,consolidated-clastic-sedimentary rocks,psammite or arenite,7.93944644927979
92,,30JUL2009:00:00:00,2.0,,,4.0,2.0,1.0,PT185,B82;E30;B82;F00;B82,5.3,FL,597.760001098365,Fluvisol,unconsolidated deposits (alluvium,lake deposits,2.06493425369263
93,,05AUG2009:00:00:00,1.0,,,1.0,3.0,2.0,PT163,F00;32;D10;PI(;D10;)PI;24;D20;62;E30;B16;2;B16,5.3,PZ,759.920002031326,Podzol,consolidated-clastic-sedimentary rocks,psammite or arenite,2.94687962532043
94,,03AUG2009:00:00:00,2.0,C1E,,2.0,2.0,2.0,PT163,C10;D10;C10;32;C10;D10;PI(;C10;D10;Bx1;)PI;D20;62,5.3,PZ,759.920002031326,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,7.64140510559082
95,,29JUL2009:00:00:00,2.0,C1E,,4.0,2.0,1.0,PT162,C10;D10;24;D20;C10;D10;31;C10;D10;32;C10,5.3,PZ,785.000000537932,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,15.9794054031372
96,,11JUN2009:00:00:00,2.0,C2A,,3.0,2.0,1.0,PT185,C20;E30;C20;61;C20;E30;C30,5.3,AR,662.180000300705,Arenosol,unconsolidated deposits (alluvium,marine and estuarine sands,3.48087739944458
97,,05AUG2009:00:00:00,2.0,C1E,,4.0,2.0,3.0,PT16C,C10;D10;C10;PI(;D10;)PI,5.3,LV,744.310000786185,Luvisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.0
98,,09MAY2009:00:00:00,2.0,,,3.0,2.0,2.0,PT150,B76;F00;61;B76;61;B76,5.7,CM,446.579998672009,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,4.46587753295898
99,,18MAY2009:00:00:00,2.0,,,2.0,2.0,1.0,PT150,D10;32;2;21;2;B76;61;21;F00;21;31;D10;C10;61;D10,5.6,RG,510.389998417348,Regosol,metamorphic rocks,weakly metamorphic rocks,1.2809591293335
100,many stones,29APR2009:00:00:00,2.0,,,3.0,2.0,1.0,PT184,B81;B31;61;B18,5.6,VR,537.429998319596,Vertisol,igneous rocks,basic plutonic rocks,7.73519086837769
101,,28APR2009:00:00:00,1.0,,,4.0,2.0,1.0,PT184,B15;23;F00;C10,5.6,LV,537.429998319596,Luvisol,consolidated-clastic-sedimentary rocks,psammite or arenite,1.62013745307922
102,,10AUG2009:00:00:00,2.0,,,3.0,1.0,3.0,PT181,E20;23;61;71;23;E20;X,5.6,LV,634.600002272427,Luvisol,metamorphic rocks,acid regional metamorphic rocks,2.56063890457153
103,,24JUL2009:00:00:00,2.0,C39,,3.0,1.0,3.0,PT183,C30;F00;C30;F00;23;C20;F00;C20,5.3,PZ,662.180000300705,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,8.53076553344727
104,,24JUL2009:00:00:00,2.0,,,3.0,2.0,3.0,PT16C,D20;D10;61;D10;24;D10;B81;C10;D10,5.3,CM,744.310000786185,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,8.4839334487915
105,,28JUL2009:00:00:00,2.0,C1E,,3.0,2.0,2.0,PT163,C10;D10;C10;PI(;C10;)PI;C20;C10;PI(;C10;)PI;C10;F00;31;C20;D10;62;C10,5.3,PZ,759.920002031326,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,16.2357921600342
106,,28MAY2009:00:00:00,2.0,C1E,,3.0,2.0,1.0,PT162,C10;C20;61;C20;B16;E30;C20;B16;E30,5.3,PZ,785.000000537932,Podzol,unconsolidated deposits (alluvium,marine and estuarine sands,11.5279731750488
107,,14JUN2009:00:00:00,2.0,C19,,4.0,1.0,1.0,PT183,C10;E30;C10;61;C10,5.6,PZ,634.600002272427,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,9.44930458068848
108,,05AUG2009:00:00:00,2.0,,,3.0,1.0,1.0,PT185,E30;31;C10,5.3,PZ,662.180000300705,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,5.73888540267944
109,,31JUL2009:00:00:00,2.0,C19,,4.0,2.0,1.0,PT185,C10;E30;C10;61;C10;61;C10;61;C10,5.3,PZ,652.289998505265,Podzol,unconsolidated deposits (alluvium,fluvial sands and gravels,8.20672702789307
110,,24JUL2009:00:00:00,2.0,,,3.0,2.0,2.0,PT16C,B81;F00;B81;D10;B75;B81;D10;B75;B81;D10;61;E30;B81,5.3,CM,744.310000786185,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,1.14576280117035
111,,05AUG2009:00:00:00,2.0,C2A,,3.0,2.0,2.0,PT16C,C20;C10;F00;61;C20,5.3,CM,744.310000786185,Cambisol,consolidated-clastic-sedimentary rocks,psammite or arenite,0.905850350856781
112,,12MAY2009:00:00:00,2.0,,,2.0,2.0,4.0,PT150,E10;21;B81;11;B75;11;21;E30;51;11;21;E30;11;62;11;21;62;1;24;21;B74;21;24;11;B75,5.7,CM,454.259998768568,Cambisol,sedimentary rocks (chemically precipitated/evaporated/ or organogenic or biogenic in origin),calcareous rocks,0.0
113,,19MAY2009:00:00:00,1.0,B53I,,3.0,1.0,3.0,PT184,B53;32;B53;23;71;E20;71;23;61,5.6,RG,510.389998417348,Regosol,metamorphic rocks,weakly metamorphic rocks,2.56063890457153
